SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
TikTok,1.458,1459,,,,,1,"0,07%",-1.458,"-100,00%",,,https://www.tiktok.com/@majacinto_
X,25,25,,,,,0,"0,00%",-25,"-100,00%",,,https://x.com/majacinto_
Youtube,78,78,,,,,0,"0,00%",-78,"-100,00%",,,https://www.youtube.com/@majacintoo
Kawai,296,297,,,,,1,"0,34%",-296,"-100,00%",,, https://k.kwai.com/u/@majacinto_/vrDC4OsE
Total,8.063,8.105,0,0,0,0,42,"0,52%",-8.063,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Brasil de Cima,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.625,1652,,,,,27,"1,66%",-1.625,"-100,00%",,,https://www.instagram.com/obrasildecima
TikTok,2.520,2545,,,,,25,"0,99%",-2.520,"-100,00%",,,https://www.tiktok.com/@obrasildecima?lang=pt
X,2.573,2.618,,,,,45,"1,75%",-2.573,"-100,00%",,,https://x.com/obrasildecima
Youtube,1.080,1100,,,,,20,"1,85%",-1.080,"-100,00%",,,https://www.youtube.com/@obrasildecima
Kwai,801,802,,,,,1,"0,12%",-801,"-100,00%",,,https://k.kwai.com/u/@decimabrasil/IyYnXCLu
Total,8.599,8.717,0,0,0,0,118,"1,37%",-8.599,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Institucional,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta (MBL PE),21.394,22515,,,,,1.121,"5,24%",-21.394,"-100,00%",,,https://www.instagram.com/mblpernambuco/
Insta (MBL PB),3.844,3869,,,,,25,"0,65%",-3.844,"-100,00%",,,https://www.instagram.com/mblivrepb/
Insta (MBL PA),18.725,19.301,,,,,576,"3,08%",-18.725,"-100,00%",,,https://www.instagram.com/mblivrepa/
Insta (MBL RN),3.275,3302,,,,,27,"0,82%",-3.275,"-100,00%",,,https://www.instagram.com/mblivrern/
Insta (MBL AL),1.378,1390,,,,,12,"0,87%",-1.378,"-100,00%",,,https://www.instagram.com/mblalagoas/
X (MBL PE),882,887,,,,,5,"0,57%",-882,"-100,00%",,,https://x.com/mblivrepe
Total,49.498,51264,0,0,0,0,1.766,"3,57%",-49.498,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Fernanda Schmitt,São Paulo,São Jose dos campos,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,8.304,8.398,,,,,94,"1,13%",-8.304,"-100,00%",,,https://www.instagram.com/fernandaschmittvet/
TikTok,2.205,2209,,,,,4,"0,18%",-2.205,"-100,00%",,,https://www.tiktok.com/@fernandaschmittvet?lang=pt
X,4.836,4.876,,,,,40,"0,83%",-4.836,"-100,00%",,,https://x.com/feschmittvet
Youtube,1.520,1540,,,,,20,"1,32%",-1.520,"-100,00%",,,https://www.youtube.com/@fernandaschmittvet
Kawai,120,134,,,,,14,"11,67%",-120,"-100,00%",,,https://kwai-video.com/u/@fernandaschmitt/i9Co9ntr
Total,16.985,17.157,0,0,0,0,172,"1,01%",-16.985,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Joel,Paudalho,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,5.342,5.580,,,,,238,"4,46%",-5.342,"-100,00%",,,https://www.instagram.com/joelconstancia/
TikTok,6.546,6547,,,,,1,"0,02%",-6.546,"-100,00%",,,https://www.tiktok.com/@joel_constancia
X,23,25,,,,,2,"8,70%",-23,"-100,00%",,,https://x.com/joelconstancia/
Youtube,149,181,,,,,32,"21,48%",-149,"-100,00%",,,https://www.youtube.com/@joelconstancia/
Kawai,773,772,,,,,-1,"-0,13%",-773,"-100,00%",,,https://www.kwai.com/@joelconstancia
Total,12.833,13.105,0,0,0,0,272,"2,12%",-12.833,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Leo Magnun,Olinda - PE,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
